return_id,scenario_id,scenario_description,order_item_id,order_id,user_id,product_id,requested_at,reason,customer_comment,responsibility,status,assessment_at,source_type,source_table,source_record_id,generator_version,seed,anchor_sale_price,anchor_product_cost,customer_historical_return_count,usage_context,network_context
RTN-S01-001,S01,Honest normal return,1064,730,567,21665,2026-08-24T19:59:59+00:00,changed_mind,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,1064,rg-synth-v1.0.2,20260903,35.0,15.400000046938658,1,,
RTN-S01-002,S01,Honest normal return,1018,701,544,16268,2026-08-24T19:59:59+00:00,changed_mind,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,1018,rg-synth-v1.0.2,20260903,25.0,14.349999977275727,0,,
RTN-S01-003,S01,Honest normal return,521,354,271,10230,2026-08-21T10:59:59+00:00,changed_mind,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,521,rg-synth-v1.0.2,20260903,35.0,21.035000053816475,0,,
RTN-S01-004,S01,Honest normal return,626,422,334,19840,2026-08-26T20:59:59+00:00,changed_mind,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,626,rg-synth-v1.0.2,20260903,88.7699966430664,32.045968584439464,2,,
RTN-S01-005,S01,Honest normal return,799,549,440,26132,2026-08-25T04:59:59+00:00,changed_mind,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,799,rg-synth-v1.0.2,20260903,29.5,15.01550004351884,0,,
RTN-S02-001,S02,Legitimate heavy returner,223,152,106,20596,2026-08-23T18:59:59+00:00,wrong_size,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,223,rg-synth-v1.0.2,20260903,40.0,19.32000003755093,4,,
RTN-S02-002,S02,Legitimate heavy returner,829,567,453,1426,2026-08-26T17:59:59+00:00,wrong_size,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,829,rg-synth-v1.0.2,20260903,48.75,21.49874998256564,4,,
RTN-S02-003,S02,Legitimate heavy returner,446,305,235,22659,2026-08-23T06:59:59+00:00,wrong_size,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,446,rg-synth-v1.0.2,20260903,200.8699951171875,91.19497795231872,3,,
RTN-S02-004,S02,Legitimate heavy returner,1002,688,533,10575,2026-08-21T16:59:59+00:00,wrong_size,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,1002,rg-synth-v1.0.2,20260903,36.0,19.15199997927993,4,,
RTN-S02-005,S02,Legitimate heavy returner,1339,918,726,907,2026-08-25T12:59:59+00:00,wrong_size,,customer_discretionary,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,1339,rg-synth-v1.0.2,20260903,48.0,21.69599996879697,4,,
RTN-S03-001,S03,Merchant-fault damaged return,1129,777,604,14423,2026-08-25T21:59:59+00:00,damaged_on_arrival,,merchant_fault,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,1129,rg-synth-v1.0.2,20260903,21.979999542236328,9.890999818570911,0,,
RTN-S03-002,S03,Merchant-fault damaged return,402,276,213,24995,2026-08-25T16:59:59+00:00,damaged_on_arrival,,merchant_fault,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,402,rg-synth-v1.0.2,20260903,12.0,7.476000018417835,0,,
RTN-S03-003,S03,Merchant-fault damaged return,941,649,506,1348,2026-08-23T20:59:59+00:00,damaged_on_arrival,,merchant_fault,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,941,rg-synth-v1.0.2,20260903,57.9900016784668,26.211480720969828,0,,
RTN-S03-004,S03,Merchant-fault damaged return,122,85,54,23343,2026-08-21T04:59:59+00:00,damaged_on_arrival,,merchant_fault,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,122,rg-synth-v1.0.2,20260903,34.9900016784668,17.145100830269605,0,,
RTN-S03-005,S03,Merchant-fault damaged return,71,49,34,11450,2026-08-24T13:59:59+00:00,damaged_on_arrival,,merchant_fault,REQUESTED,2026-09-02T23:59:59+00:00,synthetic_demo,bigquery-public-data.thelook_ecommerce.order_items,71,rg-synth-v1.0.2,20260903,39.0,19.421999914571643,0,,
